카테고리: 모든 카테고리

주,코엑스: (대한민국)
2017-01-01,72
2017-01-08,68
2017-01-15,55
2017-01-22,59
2017-01-29,50
2017-02-05,66
2017-02-12,55
2017-02-19,60
2017-02-26,63
2017-03-05,57
2017-03-12,62
2017-03-19,59
2017-03-26,56
2017-04-02,41
2017-04-09,41
2017-04-16,52
2017-04-23,58
2017-04-30,89
2017-05-07,54
2017-05-14,52
2017-05-21,58
2017-05-28,71
2017-06-04,49
2017-06-11,70
2017-06-18,60
2017-06-25,72
2017-07-02,85
2017-07-09,77
2017-07-16,75
2017-07-23,64
2017-07-30,78
2017-08-06,80
2017-08-13,71
2017-08-20,67
2017-08-27,66
2017-09-03,63
2017-09-10,69
2017-09-17,68
2017-09-24,63
2017-10-01,62
2017-10-08,55
2017-10-15,56
2017-10-22,52
2017-10-29,57
2017-11-05,67
2017-11-12,72
2017-11-19,56
2017-11-26,65
2017-12-03,63
2017-12-10,76
2017-12-17,88
2017-12-24,100
2017-12-31,70
