Number,Name,Address,Gu,Gu2,Latitude,Longitude,Insta_tag,Multiflex_no,Traffic_subway,Traffic_subway_no,Traffic_subway_connection,Traffic_bus_green,Traffic_bus_red,Traffic_bus_blue,Traffic_bus_express,Traffic_bus_shuttle,Traffic_no,Car,Feeding,Stroller,Revenue(원),Store,Floor,Total area,Operation,Search_Word
1,스타필드 하남,"750 Misa-daero, 하남시 경기도 대한민국",하남시,하남시,37.545614,127.224064,166104,1537,"잠실역, 강남역, 천호역, 상일동역, 방이역, 팔당역",6,0,"23, 81, 82, 87","9302, 9303",50,,,7,9,1,1,1.04E+11,274,8,460000,신세계그룹,"하남 워터파크, 경기도 실내수영장, 스타필드 아쿠아, 스타필드 하남 맛집, 하남 스타필드 아쿠아필드 시간, 하남 수영장, 하남 아쿠아필드 수건, 하남 아쿠아필드 주차, 스타필드 워터파크, 경기도 호텔 수영장, 하남 스타필드 아쿠아필드, 하남 스타필드 메가박스, 하남 스타필드 찜질방, 하남 스타필드 스포츠몬스터, 하남 스타필드 키즈까페, 하남 신세계백화점, 하남, 아쿠아필드 가격, 하남 아쿠아필드 수건, 하남 스타필드 주차"
2,스타필드 코엑스,대한민국 서울특별시 강남구 삼성1동 영동대로 513,강남구,강남구,37.511683,127.059108,14823,3589,"삼성역, 봉은사역",3,1,3411,,"146, 333, 341, 360, 740, N13, N16","1100, 1700, 2000, 2000-1, 500-2, 7007, 8001, 9303, 9414","강남07, 강남08",19,5,2,2,358392,274,4,463994,신세계그룹,"코엑스 놀거리, 코엑스 맛집, 코엑스 아쿠아리움, 코엑스 삐에로쇼핑, 킨텍스, 코엑스 스타필드, 코엑스 코믹콘, 코엑스 대학박람회, 코엑스 별마당 도서관, 코엑스 지하철역??, 부산 코엑스, 스타필드 코엑스몰 맛집, 스타필드 코엑스몰 주차, 스타필드, 코엑스 스타필드 주차장, 서울 별마당도서관, 코엑스 라에스키모, 코엑스몰, 코엑스 별마당도서관 주차장, 서울 스타필드, 코엑스 카페, 서울 코엑스, 스타필드 코엑스 맛집, 서울 별마당도서관, 코엑스 별마당도서관 주차장, 스타필드 코엑스 주차, 코엑스, 코엑스 스타필드 맛집, 스타필드 삼성, 코엑스 매장, 서울 별마당도서관, 서울 코엑스몰"
3,테크노마트 강변,대한민국 서울특별시 광진구 구의동 546-4,광진구,광진구,37.535117,127.095775,20242,1663,강변역,1,1,"2224, 3212, 3214",9204,"1, 1-1, 1-2, 9, 11, 15, 91, 91-1, 92, 93, 05, 96, 97, 1115-2, 100, 2000-1, 5600, 112-3, 9204, 1001","13, 13-2, 15-3, 112, 112-1, 112-5, 1113-1, 1117, 1117-1","강동01, 광진01, 광진03, 광진04",37,3,2,1,1777539,886,15,259730,"프라임산업(주),삼원AMC(주)","강변 테크노마트 맛집, 강변 테크노마트 휴무, 신도림세상, 강변테크노마트 가구혼수백화점, 강변 테크노마트 주차, 테크노마트, 강변 테크노마트 cgv, 강변 테크노마트 노트북, 강변 테크노마트 영업시간, 강변 테크노마트 아이폰8?, 강변 테크노마트 핸드폰"
4,아이파크몰 용산,대한민국 서울특별시 용산구 한강대로23길 55 ,용산구,용산구,37.5288539,126.9640447,45336,3893,"용산역, 신용산역",2,1,17,"6030, 6001, N6001, N6002","400, 502, 100, 150, 151, 152, 500, 501, 504, 506, 507, 605, 750A, 750B, 751, 752",,,11,5,0,1,15476967,383,8,240110,HDC아이파크몰,"용산 아이파크몰 올리브영, 용산 쇼핑몰, 용산 아이파크 맛집, 용산 애니메이트, 용산 아이파크몰 키친미미미, 서울 짱구, 짱구스토어, 용산 짱구, 용산 아이파크몰, 용산 짱구스토어, 용산 아이파크몰 맛집, 용산 아이파크몰 짱구, 용산 아이파크몰 주차, 메밀공방 메뉴, 용산 아이파크몰 카페, 용산 아이파크, 용산cgv, 용산 아이파크몰 전시, 아이파크몰, 용산 아이파크몰 cgv"
5,가든파이브,대한민국 서울특별시 송파구 문정2동 충민로 66,송파구,송파구,37.477634,127.124943,78067,1481,장지역,1,0,"3418, 3423",34394,"302, 303, 320, 360, 363, 70, 116, 199, 500-1, 550, 1001, 1112, 1117, 402",,,17,9,2,1,999999,1527,16,426635,가든파이브라이프,"가든파이브 99안경할인점, 가든5 찜질방, 송파 스파인가든파이브, 현대아울렛 가든파이브, 가든파이브 현대시티몰, 가든파이브 찜질방, 서울 가든파이브, 가든파이브 워터파크, 서울 스파인가든파이브, 코코몽 키즈랜드, 장지동 현대시티몰, 더 스파 인 가든파이브, 가든파이브 물놀이장, 송파 찜질방, 가든5 찜질방, 서울 가든파이브, 송파 스파인가든파이브, 현대아울렛 가든파이브, 가든파이브 찜질방 주차, 서울 스파인가든파이브, 현대시티아울렛 가든파이브"
6,타임스퀘어,대한민국 서울특별시 영등포구 영등포동 영중로 15,영등포구,영등포구,37.517164,126.903176,51514,2797,"영등포역, 영등포시장역, 문래역, 신도림역",4,1,"5625, 6654, 9408, 5714, 6637, 6640A, 5714, 6628, 6630, 6631, 6637, 6640B","9707, 1082, 1500, 870, 830, 9000, 9030, 70-3, 9000, 9030, 6008, 5-1, 5, 700, 871","670, 605, 5616, 6628, 6629, 462, 88-1, 88, 670, 605, 760",,"영등포05, 영등포03, 영등포04,",41,6,1,2,1.69E+11,189,7,340895,신세계그룹,"영등포 타임스퀘어 호텔, 영등포 타임스퀘어, 영등포 키즈앤키즈, 타임스퀘어 맛집, 뉴욕 타임스퀘어, 영등포 타임스퀘어 맛집, 코트야드 메리어트 영등포, 타임스퀘어 메리어트, 코트야드 메리어트 호텔, 미국 타임스퀘어, 영등포 타임스퀘어 cgv, 영등포 신세계백화점, 영등포 타임스퀘어 데이트, 타임스퀘어, 영등포 맛집, 영등포 타임스퀘어 버터핑거, 영등포 cgv, 영등포 타임스퀘어 가는법, 영등포 타임스퀘어 카페, 영등포 롯데백화점"
7,디큐브시티,대한민국 서울특별시 구로구 신도림동 경인로 662,구로구,구로구,37.508432,126.888733,69679,545,"신도림역 (1, 2호선)",1,1,"5615, 5714,6512,6513,6515,6637,6640, 6648, 6649, 10, 23, 68, 83, 83-1, 108, 138, 583",,"5619, 6411, 6511, 6611, 6618, 6650, 6651, 6653, 160,260,503, 600, 670, 301, 320, 10, 11-1, 11-2, 83, 88, 510",,"영등포01, 구로09",40,2,1,1,999999,383,13,350025,현대백화점,"디큐브 피스트, 라그릴리아 신도림, 디큐브시티 아파트, 신도림 디큐브시티, 쉐라톤 디큐브시티 뷔페, 삿뽀로 일식, 신도림 디큐브시티 맥주, 디큐브아트센터, 쉐라톤 디큐브시티 피스트, 디큐브시티 뮤지컬, 신도림 디큐브시티 맛집, 신도림 디큐브시티 영화관, 신도림 디큐브시티 키즈카페, 신도림 테크노마트, 신도림 맛집, 신도림 디큐브시티 뮤지컬, 신도림 디큐브시티 출구, 신도림 롯데시네마, 영등포 타임스퀘어, 신도림 디큐브아트센터"
8,롯데몰 김포,대한민국 서울특별시 강서구 방화2동 하늘길 지하 77,강서구,강서구,37.566773,126.802512,14570,2127,김포공항역,1,1,"2, 3, 12, 50, 56, 71, 150, 220, 50-1, 60, 60-3, 69, 71, 85-1, 88, 150, 220, 388, 1002","6629, 6712, 6632, 6642","78, 66, 605, 651, 601, 60-5, 66, 78","85, 20, 22, 300, 5100, 5200, 8843, 4300",,39,5,2,1,999999,103,14,314000,롯데자산개발,"김포공항 롯데아울렛, 롯데마트 김포공항점, 김포 롯데몰 토끼정, 김포공항 롯데몰 롯데시네마, 김포공항 롯데마트, 김포공항 롯데백화점, 실내 쇼핑몰, 롯데아울렛 용인, 실내서핑, 실내서핑장, 용인 쇼핑몰, 플로우하우스, 일산 플로우하우스, 대형쇼핑몰, 일산 만화카페, 롯데몰 김포공항 맛집??, 김포공항 롯데몰 맛집, 김포공항 롯데시네마, 롯데몰 토끼정, 딘타이펑 추천메뉴, 김포공항 롯데몰 주차요금, 토끼정 김포공항, 김포공항 롯데몰 물놀이, 김포공항 롯데몰 휴무, 김포공항 롯데몰 키즈카페, 김포공항 맛집??, 김포공항 롯데몰 토끼정, 김포 롯데몰 맛집, 김포공항에서 롯데몰, 김포 롯데백화점, 김포 롯데몰 키즈카페, 김포 롯데시네마, 온더보더 메뉴, 김포공항 롯데몰 레고, 김포 롯데몰 물놀이, 김포 현대프리미엄아울렛"
9,롯데몰 은평,대한민국 서울특별시 은평구 진관동 통일로 1050,은평구,은평구,37.637515,126.91779,10918,1336,구파발역,1,0,"7211, 7733, 8772, 17, 19, 30, 31, 34, 55, 99, 100, 330, 333, 360, 567, 7211, 7722, 7723, 7733, 15-1, 19-1, 8722","9710, 9703, 9709","571, 703, 706, 760, 471, 704, 705, 720, N37, 333",,,35,3,0,1,43000000,189,10,159760,롯데자산개발,"롯데시네아, 은평 롯데몰 롯데시네마, 롯데키즈파크, 은평 롯데몰 주차, 롯데시네마 구파발, 은평 롯데몰 언더씨킹덤, 진관동, 은평 롯데몰 키즈파크, 올곧은치과 은평롯데몰, 은평 롯데마트, 구파발역 롯데몰, 롯데시네마 은평, 롯데시네마 은평몰, 은평 롯데몰 주차, 롯데몰 은평 맛집, 은평구 롯데몰, 롯데몰 피에프창, 은평 롯데몰 수영장, 롯데몰 은평 롯데시네마, 은평 롯데몰 피에프창"
10,IFC몰,대한민국 서울특별시 영등포구 여의도동 국제금융로 10,영등포구,영등포구,37.525462,126.925454,98169,1305,"여의도역 (5, 9호선)",1,1,"5012, 5615, 5618, 5623, 6513, 6623, 6628","10, 10-1, 11-2, 83, 88, 301, 320, 2500, 3601, 5601, 8600","160, 162, 260, 261, 262, 360, 461, 600, 661, 662",,,28,9,1,1,999999,111,3,76021,SIFC Property Korea,"서울 ifc몰, ifc몰 맛집, 여의도 IFC몰, ifc몰 주차, 여의도 ifc몰 맛집, 콘래드 서울 라운지, 여의도 나폴레옹, 홍콩 ifc몰, 한강 물빛광장, ifc몰 cgv, ifc몰, ifc몰 맛집, 여의도 IFC몰 주차, 서울 ifc몰, 여의도 맛집, 여의도 IFC몰 카페, 여의도 cgv, 여의도 IFC몰 지하철, 여의도 IFC몰 식당, 영등포 타임스퀘어, ifc몰, 여의도 ifc"
